ethnicLabel,Freebase
Somali American,/m/02rynjp
Indian New Zealander,/m/02q5f4d
Indians in Argentina,/m/0gmg5q8
Irish Uruguayans,/m/0gvv38r
Jamaican Maroons,/m/02pt515
African Jamaican,/m/047ch9x
Lebanese American,/m/0g48m4
Mongolian American,/m/0djjg0
Nepalis in China,/m/0h63lf0
Samaná Americans,/m/09g9xxc
West Indian Americans,/m/064pnds
Iranian Jews in Israel,/m/09g6z76
Afro-Saint Lucians,/m/0vpxty9
Afro-Antiguan and Barbudan,/m/0vztlk7
Poles,/m/01p7s6
Archi people,/m/0g6f6q
Romani,/m/06j2v
Kurds,/m/04c28
Aztec,/m/0dz1_
Siddi,/m/03y8h0
Circassians,/m/02kr2h
Slovenes,/m/01km_m
Etruscans,/m/099sl
Georgians,/m/029q52
Montenegrins,/m/02tbv6
Chetco people,/m/0cc5v2g
Germanic peoples,/m/038cy
Visigoths,/m/07zyk
Kirati people,/m/0fsl2v
Chahar Mongols,/m/01cht1
Xionites,/m/07kztp
adjarians,/m/09vg_y
Gaetuli,/m/05csb1
Hephthalite Empire,/m/01t08h
Shoshone,/m/02nk7_
Hän people,/m/03gq7tt
Coquille people,/m/01w7l3
Chechens,/m/02xphm
Overseas Taiwanese,/m/0j3dsxf
Guarani-Kaiowá,/m/06_17c
Dioula,/m/027j47k
Drevlyans,/m/03s4z9
Anglo-Saxons,/m/09f6v
Dregovichs,/m/0277cx
Mordvins,/m/02v219
Hausa people,/m/0163tw
Ashkenazi Jews,/m/013b6_
Yanomamis,/m/0fgsk
Yugur people,/m/01wx1z
Yurok people,/m/0dxrfd
Arabs,/m/0xff
Kaingang,/m/05nsbj
Tatars,/m/0fp4n
Shipibo-Conibo people,/m/025sr_7
Tahltan people,/m/05thp5
Zhuang people,/m/01gby2
indigenous peoples of the Americas,/m/0432mrk
Pemon,/m/09gbh8n
Yupik peoples,/m/0jqtk
Vepsians,/m/04_6_s
Pomaks,/m/013s35
Krashovani,/m/0443q7
Bubi people,/m/036p3f
Mongols,/m/04sp3
English people,/m/02w7gg
Han Chinese people,/m/013y54
European Americans,/m/02vsw1
Franks,/m/07fswd
Taiwanese Americans,/m/01nbcy
Ukrainians,/m/012f86
Bukharan Jews,/m/04mwbb
Purepecha,/m/01btfz
Mayo people,/m/0cgdn3
Berbers,/m/0cx3p
Maya people,/m/01zsjv
Uyghur,/m/07tc8
Guaraní people,/m/0pmrb
Mazanderani people,/m/0cd90b
Saraiki people,/m/052ftp
Ahtna people,/m/03435m
Brahmin,/m/01kg2v
Sámi people,/m/06rd7
Krivich,/m/03sg11
Varangians,/m/016h0b
Makonde people,/m/07s8n27
white Americans,/m/07hwkr
Powhatan,/m/02k1vf
Accohannock,/m/06szdg
Apalachee people,/m/0630vt
Appomattoc,/m/04m_zw2
Arrohattoc,/m/0ndj7pv
Latvians,/m/01ylpf
Russians,/m/0g6ff
Italians,/m/0222qb
Muscogee,/m/0fr3k
Tunica-Biloxi,/m/04bc0x
Houma people,/m/06t4rv
Calusa,/m/02lwr2
Bambrzy,/m/02bsr4
Cape Fear Indians,/m/07j4fs
Capinan people,/m/0ndw8bf
Catawba people,/m/0353fz
Timucua,/m/05l5hh
Chatot people,/m/03c862t
Chitimacha,/m/032cq7
Gangte people,/m/03k71n
Anlo Ewe people,/m/03nrbk
Natchez people,/m/058v_z
Agaw people,/m/06j8cl
Tsimshian people,/m/02s_d2
Patwin people,/m/07wdgf
Latins,/m/09g74d4
Alur people,/m/0897hw
Rikbaktsa people,/m/03d8bvj
Khevsurians,/m/0fq0r__
Fulbe people,/m/0pxtm
Zigula people,/m/0g8_xy
Tolupan people,/m/02hwh62
Kikuyu,/m/0180zw
Komi people,/m/02fwrm
Dorians,/m/02924
Baka people,/m/04zg13
Arab citizens of Israel,/m/02gzrk
Ami,/m/06mth_
Ghilzai,/m/06p801
Zipser Germans,/m/0bftb6
Circipania,/m/04yg2gx
Burgher people,/m/0661yn
Ligures,/m/026ttm
Buryats,/m/0ftwg
Nicobarese people,/m/04gh6fr
Mongoloid,/m/01fy9g
Xhosa people,/m/0hj35
Morisco,/m/01cv_0
Laz people,/m/0dphf9
Hamnigan,/m/0w1djnj
Miao,/m/02y405
Seres,/m/026g979
Haida people,/m/0jt6g
Taíno people,/m/014_tg
Kumyks,/m/02fzq3
East Slavs,/m/0c54l
Afar people,/m/07h3kq
Dinka people,/m/039z49
Dacians,/m/0plpw
Abazins,/m/06dck5
Wyandot people,/m/011lcx
Seneca,/m/028yj0
Karelians,/m/02599k
Mari people,/m/02ngpf
Dogon people,/m/01ry95
Kam people,/m/01wwnj
Vietnamese people,/m/03ndvw
Taiwanese indigenous peoples,/m/0f2l1
Wolof people,/m/08c25t
Daur people,/m/01wwxl
Nakhi people,/m/01l0zt
Makoa,/m/0fq1n7r
Khitan people,/m/05254v_
Mahafaly people,/m/0drwzhy
Hmong people,/m/0fz6b
amaqaba,/m/01tpyf
Dalit,/m/04wysy
Guanches,/m/012zjt
Adriatic Veneti,/m/01mtrp
Hungarian Brazilian,/m/04634ym
Cornish people,/m/07226h
Puyallup people,/m/01t83n
Zuruahã people,/m/02hwt54
Ibibio people,/m/02g8fh
Indo-Scythians,/m/03fxr5
Khakas people,/m/05d16_
Lendians,/m/0279mq2
Somalis,/m/05cc9h
Tikar people,/m/0bgc77
Flemings,/m/018hlv
Karachays,/m/02fzm6
Kabarday,/m/02dy87
Igbo people,/m/01nbjb
Altai people,/m/0cs6s2
Greek Cypriots,/m/04hlx1
Turkish Cypriots,/m/03rdlp
Waccamaw Siouan,/m/0cjkkq
Qashqai people,/m/0426st
Karamanlides,/m/04ns8q
Banjara,/m/02r7txy
Chuvash people,/m/02fzk9
Shawnee,/m/02sq4q
Falisci,/m/014w77
Tat people,/m/02mrsk
Assyrians in Georgia,/m/0119_b8x
Orang Asli,/m/03t8g2
Ojibwe,/m/01g0y_
Aesti,/m/04rgp6
Eora,/m/04xkk8
Erie people,/m/07yltt
British Bangladeshi,/m/043nmrn
Greeks in Ukraine,/m/02w_yz4
Métis,/m/04kzhj
Métis,/m/0c50f
Baster,/m/0409qn
Saho people,/m/09_754
Aboriginal Tasmanians,/m/01jvvt
Krahn people,/m/01mz57
Ghomara,/m/047ys5
Hungarians in Austria,/m/011856j_
Pipil people,/m/01styx
Chango people,/m/03vz7g
Psylli,/m/0b7kr7
Quileute people,/m/01tr3r
Mescalero,/m/0446z2
Alsea people,/m/04l6t5
Nomlaki people,/m/07w72g
Banawá people,/m/0f6hw
Kalenjin people,/m/02k75d
Arbëreshë,/m/027hhf
Sri Lankan Malays,/m/03qp4zb
Fuzhou Tanka,/m/07khjtt
Hispanic and Latino Americans,/m/025rpb0
Tuareg,/m/0p_y8
Nivkh people,/m/02s4fs
Qizilbash,/m/07l9pv
Lun Bawang,/m/02rnhnm
Qajars,/m/04q3hbq
Dravida,/m/02z0lkh
Dravida,/m/02h80
Tay people,/m/03y03x
Chứt people,/m/0bkj2m
San Chay people,/m/03cfmjb
Muong people,/m/05dr6r
Nùng people,/m/02whq8
Bakossi people,/m/0gfg6qt
Ejagham people,/m/04f3ptb
Zappo Zap,/m/0hn8vw9
Armenians,/m/022fdt
Kazakhs,/m/01f0hl
Greeks in Bulgaria,/m/011901jl
Lenape,/m/01hhnn
Yenisei Kirghiz,/m/02rj0nt
Turkic peoples,/m/0c5t3
Khattak,/m/02vzyt
Turks,/m/0118b8ry
Afro-Germans,/m/0bs8xb
Histri,/m/0h3lys5
Ainu people,/m/0qmq
Saxons,/m/06y22
Apache,/m/01_5cg
Sephardi Jews,/m/013b7g
Angles,/m/0x1v
Cherokee,/m/0dbxy
Ossetians,/m/01srl7
Chukchi people,/m/0fwpx
Great Lakes Twa,/m/0hnvh
Sioux,/m/0fk3s
Pelasgians,/m/0l882
Navajo,/m/08k5jg
Aymara,/m/01g3rx
Swedish Americans,/m/065b6q
Hazaras,/m/03nvq
Lotuko people,/m/0cxs7y
Toposa people,/m/0ctftc
Murle people,/m/09v991
Mandari people,/m/04dmzw
Mohawk people,/m/01sq7s
Kiowa people,/m/01npch
Cree,/m/0dq1q
Arahuacos (Arawak),/m/0hc2x
Hopi people,/m/0fxf
Crimean Tatars,/m/03r9vh
Dhanuk,/m/05msfxs
Kannada people,/m/01xttr
Omaha people,/m/064b9n
Tsuut'ina Nation,/m/056y3p
Manx people,/m/097r55
Vlachs of Serbia,/m/089c95
Basque people,/m/01h4n
Chipewyan people,/m/02chwz
Serbs,/m/0g6g7
Turks in Bulgaria,/m/089r20
Zulu people,/m/088zs
Eskimo,/m/02lf7
Hungarians,/m/0g5y6
Bulgarians,/m/013s41
Lokoya people,/m/06zrb7w
Uduk people,/m/03cj03w
Didinga people,/m/07064z
Banyamulenge,/m/04mgy8
Quechua people,/m/025s0s9
Algonquian people,/m/01lhj1
Qarmatians,/m/04mpmx
Tsakhur people,/m/0f2jhh
Zaghawa people,/m/053vn8
Paliyan,/m/0263756
Rusyns,/m/031f24
Silesians,/m/04qprf
Toda people,/m/02l94b
Tulu people,/m/074w_m
Kodava people,/m/052_6b
Filipinos in Germany,/m/03y0lw8
German Americans,/m/01qhm_
Indigenous peoples of Oceania,/m/07wd84
Manihar,/m/07kgn2_
Nat caste,/m/0cmc_rc
Malays,/m/01pn8r
Zaza people,/m/07nmkf
Vietnamese people in Germany,/m/04q0bg0
Zai,/m/080pyjx
Thracians,/m/019v2y
zambo,/m/02jrwy
Manchu,/m/013z8m
Zenata,/m/04gb8k
Sorbs,/m/013bbv
Illyrians,/m/026w5s
Kashubians,/m/04bpd
Zapotec,/m/012tpp
Székelys,/m/025pgh
Zaramo people,/m/06n593
Zarma people,/m/025wnz5
Polabian Slavs,/m/04qzj9
Milceni,/m/026g5kl
Drevani,/m/03nr1t4
Kakwa people,/m/01qwc_
Zo'é people,/m/0d0rf0
Obotrites,/m/0bls9
Kotas,/m/09yvvn
Baltic Germans,/m/0j_nf
Issei,/m/0cn54
Japanese people,/m/019kn7
Maasai,/m/054vv
Ukrani,/m/06wcc61
Sprevane,/m/073xhk
Hevelli,/m/073xgv
Swedes,/m/06mvq
Cocopah people,/m/0fsvy
Nenets people,/m/017lk2
Daju people,/m/0283dzk
Jassic people,/m/0g6_wd
Croats,/m/0j4w_
Lemba people,/m/0mjkj
Boya people,/m/06zr0l1
Korean Canadians,/m/067lfz
Moors,/m/0c8r3
Yörüks,/m/08hgw3
Herero people,/m/03w71j
Czechs,/m/013s3n
Finns,/m/0318mh
Transylvanian Saxons,/m/04hqxn
Irish people,/m/03bkbh
Slovaks,/m/01n94b
Abkhazians,/m/050ct2
Pygmy people,/m/01q1cg
San people,/m/01v2x2
Avars,/m/02vhbm
Estonians,/m/01ywdy
Bantu people,/m/01bgv
Tamil,/m/01rv7x
Gamilaraay,/m/087dz_
Walddeutsche,/m/063_6gk
Xerente people,/m/06zpl09
Batavi,/m/01cv3
Šokci,/m/0821_q
Mapuches,/m/022vr2
Kanak,/m/09ffs_
Albanians,/m/01267
Gagauz,/m/02cd81
Bedouin,/m/0gqqw
Scottish people,/m/03lmx1
Hui people,/m/013y5z
Udmurt people,/m/024jn3
Chenchu people,/m/05jbf1
Karamojong people,/m/070scg
Lithuanians,/m/02c31t
Tibetan people,/m/01l0ty
Boer,/m/01kpf
Welsh people,/m/06gbnc
Xiongnu,/m/0jv74
Inuit,/m/03r_k
Yoruba people,/m/0301y_
Kalmyks,/m/01bb50
Germans of Croatia,/m/02qnn03
Aleut people,/m/0130h
Evenks,/m/0fzj0
Balkars,/m/02fzmy
Nogais,/m/053yxv
Hutu,/m/0g6l2
Tocharians,/m/01bhll
Tuvans,/m/02fzh1
Tutsi,/m/0hnv0
Sartuul,/m/04668b8
Parsi,/m/0bymc
Bari people,/m/065mh1
Sherpa,/m/01gr8h
Mohegan,/m/02808p8
Khmer people,/m/050w97
Aromanians,/m/01vsch
Palestinians,/m/0jt7v76
Baloch,/m/0h9bz
Wateree people,/m/02pk05g
Karen people,/m/02wtzf
South Slavs,/m/0869mz
Dargwa people,/m/068ldp
Shompen people,/m/04w3z1
Bai people,/m/01n8dn
Karakalpaks,/m/05f_1n
Korean American,/m/01j2qv
Wyandotte Nation,/m/046kym
Luhya,/m/03p8hz
A-Hmao,/m/06_w7n_
Aivilingmiut,/m/043lw8v
German Namibians,/m/08ht2m
Koryaks,/m/0fwn_
Ashkali and Balkan Egyptians,/m/043d4d
Greeks in Hungary,/m/011bk0vh
Baizais,/m/0gky2dm
Shambala people,/m/0gb58t
Turks in Liechtenstein,/m/03mclrp
Gibraltarian people,/m/03hf_6z
Al-Akhdam,/m/043r7_d
Semigallians,/m/03d61w
Efik people,/m/0b8q_s
Muckleshoot people,/m/09wwf
Anatolians,/m/05pd8h1
Zafimaniry,/m/0fq0mw8
Warnabi,/m/02z447m
Arain,/m/06rf6l
Ludza Estonians,/m/02r0jz8
Fante,/m/03rlq3
Ababda people,/m/0zrn
Abayudaya,/m/030kxh
Eastern Shoshone,/m/0ynxhmz
Quadi,/m/0k8jj
Hlai people,/m/04nf7
Malagasy people,/m/09g34_
Sri Lankan Gypsy people,/m/0gytydk
Maranao people,/m/04h6bl
Pannonian Rusyns,/m/06dtx1
Glomacze,/m/07kj6jy
Ripuarian Franks,/m/03t87b
Abelam people,/m/03cfq95
Oromo people,/m/05p72
Aghul people,/m/0763v8
North Frisians,/m/0ch2g48
Indigenous peoples of the Great Basin,/m/0360m7
Lak people,/m/06qsk7
German Brazilians,/m/04118b
Bamun people,/m/05nnd8
Cheyennes,/m/0fk55
Aborigines,/m/09gbbm3
Austrian Americans,/m/0ffj5g
Crow Nation,/m/0drbm
Miskitos,/m/031__8
Saisiyat people,/m/01rldj
Sumi Naga,/m/03ct2dn
Dongyi,/m/09q943
Bariq,/m/0jkz7b6
Salar people,/m/01wwyj
Abbé people,/m/0n49mc2
rajput,/m/031_sd
Secwépemc,/m/0cqsnc
Acaxee,/m/07qrs2
Accomac,/m/06szdg
Koibal people,/m/04cx19x
Albiones,/m/04czc7h
Acholi people,/m/05fc7v
Aché people,/m/06gj5p
Achi people,/m/047fdr4
Acolhua,/m/0f7_g_
Beur,/m/031mzg
Tlokwa,/m/01zyhy
Golensizi,/m/0j3gsdl
Harari people,/m/0bwhd5z
Raetovari,/m/0546vb
Aja people,/m/03g2tj
Cáhita,/m/07g_2v
Adnyamathanha,/m/08g67b
Ahanta people,/m/0gfgbyt
Black Canadians,/m/02czfr
Burusho people,/m/0c18hf
Anglo-Indian people,/m/034s7b
Oroch people,/m/02s4j9
Shatt people,/m/0d0djp
Dolgans,/m/05h7q6
Ukrainians of Romania,/m/0261k46
Dzungar people,/m/0661msy
Vedda people,/m/086hj
Ngarrindjeri,/m/04y482
Yao people,/m/02wts9
Yeniche people,/m/04kf14
Yolŋu people,/m/0496ps
Germans of Kazakhstan,/m/0999lz
Iraqi Turkmens,/m/0f06xq
Yakoma people,/m/03h3qj5
Midob people,/m/0c_416
Marrucini,/m/0150qs
Mossi people,/m/037lt_
Ngbaka people,/m/02r3qyt
Darod,/m/083qf6
Darug people,/m/041rcs
Issa,/m/0d7ym8
Daasanach people,/m/0cjcnt
Piaroa,/m/0dy09d
Musulamii,/m/05f79vq
Deg Hit'an,/m/06k_mk
Soyot,/m/06dcf_
Abdal,/m/0cmb_vp
Sekani people,/m/05kn3z
Dogrib people,/m/01r8fs
Dena'ina people,/m/08qmg_
Intha people,/m/0frxr8
Mongols in China,/m/0gcpd0
Polish Americans,/m/022dp5
Lebanese Venezuelan,/m/0glt33b
Kereks,/m/06dbww
Meshwesh,/m/068lv9
Sidama people,/m/073y5t
Hoa people,/m/04y7rf
Norwegian Americans,/m/04f581
Kalanga people,/m/04jkp4w
Mthwakazi,/m/0gvtjj4
Di,/m/07g0w9
Mura people,/m/0bf968
Kashmiri people,/m/0b79c7
Malaysian Chinese,/m/0338zd
German Australian,/m/0925qn
Germans in Jamaica,/m/051ylwb
Chinese Canadians,/m/01mw1s
Ryukyuan people,/m/0165md
Norsemen,/m/0140l5
Northern Ndebele people,/m/07y6l5
Hispanic,/m/0fk1z
Nasamones,/m/012npxrf
Olcades,/m/06w5519
Kunama people,/m/08ns74
Jola people,/m/0c2p7b
Somali,/m/08zf8r
Dja Dja Wurrung people,/m/043r98_
Kinga people,/m/0gdvnh
Dobrujans,/m/0r4pryt
Tiv people,/m/0654gv
Piréz people,/m/064kng8
Sahewamish tribe,/m/03c9xj_
Wathaurong people,/m/08c_9m
Albanians in Kosovo,/m/011b0b0n
Corieltauvi,/m/02cdfy
Mwanga people,/m/0gczsl
Nakota,/m/080jwr1
Musgum people,/m/02828qs
Koalib Nuba people,/m/0cwc3v
Konkani people,/m/08gzsf
Ambonese,/m/0dyp1g
Dorze people,/m/0cvkgh
Xirong,/m/0b77w9v
Dâw people,/m/0cp1bz2
Ute,/m/07jcrb
Cenomani,/m/02vw1gq
Northern Tutchone people,/m/07jmn4
Nair,/m/046cwm
Southern Tutchone people,/m/07jml2
Hohokam,/m/01q99x
Yao people,/m/08d1w9
Muhaxhir,/m/09snz9
Arikara people,/m/038t2q
Cupeño people,/m/07s32v
Triballi,/m/025t7d
Ovimbundu people,/m/0705gz
Sindhis,/m/029f2r
Brahui people,/m/02jknb
Hadza people,/m/0gf14p
Madurese people,/m/04ny53
Liburnians,/m/07c88h
Morlachs,/m/04qqyl
Santal people,/m/02zggb
Warao,/m/08lths
Khasi people,/m/03lr63
Serbian Americans,/m/0268d21
Serbs in Albania,/m/025x5t_
Hehe people,/m/03862b
Samburu people,/m/024t2g
Makua people,/m/0311n7
Croats of Vojvodina,/m/026bvw0
Tagalog people,/m/09c0cq
Serbs in North Macedonia,/m/025x6k1
Mende people,/m/02q4tn
Macedonian Muslims,/m/06s9h6
Duala people,/m/070jcw
Mazatec people,/m/02m7cy
Berziti,/m/09dtjj
Nyamwezi people,/m/05nync
Seri people,/m/087pj_
Asian South African,/m/02081m
Somalis in Finland,/m/0119mj4t
Nadruvians,/m/0744kp
Aequi,/m/014wqk
Walloons,/m/085_z
Aeta people,/m/04nhd1
Heiban Nuba people,/m/0cd9mw
Afghan,/m/0ch91f
Afghans in Germany,/m/04q30kv
Cham people,/m/013z9j
Oropom people,/m/04d3xq
Lao people,/m/01c034
Afridi,/m/03n28v
Afrikaners,/m/012fh
Tzotzil people,/m/04_8bs
Anglo-Celtic Australians,/m/01swvz
Blackfoot Confederacy,/m/016f5d
African Brazilian,/m/03cnfl
Afro-Cuban,/m/03yk6g
Andaqui people,/m/0hnc0bp
Umbri,/m/071v17
Sigynnae,/m/07j22j
Aghori,/m/09d0v9
Samogitians,/m/03751k
European people,/m/02z1m5b
Aguano people,/m/02662zr
Aguaruna people,/m/0d484x
Ahafo people,/m/0bry991
Eloyi people,/m/0lq0w8j
Ahom people,/m/035lwv
Chaoui people,/m/068d61
Cape Coloureds,/m/01b1zz
Bengali people,/m/0bpjh3
Idoma people,/m/07l585
Baganda,/m/0cmb6n6
Aimaq people,/m/013b1
Macanese,/m/01kl66
Aeolians,/m/04y5c_
Ait Ouriaghel,/m/0fr7sz
Acadians,/m/0c41n
Akan people,/m/05g0f1
Akha,/m/038f0l
Attie people,/m/067m56
Akyem,/m/026jcfb
Telugu people,/m/09m6hr
Kposo people,/m/05t27_
Aku people,/m/0b1zqm
Akuntsu people,/m/0grbg8
Cantonese people,/m/07c_1t
Papuan people,/m/03m3myf
Akuapem,/m/0c3__h0
Coree,/m/0b6rt_
Tigray people,/m/0cg2ht
Kadazan-Dusun,/m/08h7m0
Yaqui people,/m/01hd_l
Saek people,/m/03cqjs7
Tarahumara,/m/01n215
Arab Christians,/m/03ck8x
Pataxó,/m/084q41
Hutu,/m/09gh0jj
Layap,/m/057btk
Dulaim,/m/03mgjhr
maroons,/m/03zn3f
Alyawarre,/m/081s_9
East Frisians,/m/0ch3m_8
Asante,/m/025rxh8
Bukovina Germans,/m/0262qb5
Ambrones,/m/0767dv
Khoisan,/m/01b204
Mbundu people,/m/0gw9t8
Babungo people,/m/095l6c
Yi people,/m/01wwl3
Amhara people,/m/01zs5k
Rohingya people,/m/06613z
Androscoggin people,/m/03mdj3l
Pied-Noir,/m/01z95z
Bosporus Germans,/m/08blfl
Mansi people,/m/02s4r_
Yuezhi,/m/01t106
Poles in Germany,/m/06swql
Tabom people,/m/08s7sy
Matumbi people,/m/0gc_fr
Thai people,/m/07wsyr
Tollensians,/m/0ryvpgd
Seminole,/m/0198dl
Kelabit people,/m/0513zr
Khanty people,/m/0166wm
Murut people,/m/07cgqc
Bidayuh,/m/04dxp3
Hani people,/m/01wwqj
Y Wladfa,/m/019q2v
Hungarians in Germany,/m/011b4tvw
Abipón,/m/011j4
Italians in Germany,/m/0119h5j8
Azerbaijanis,/m/033qt1
Ozbek,/m/07xns
Tajiks,/m/09f5v
Belarusians,/m/09gp4
Persians,/m/064pj
caste,/m/05ynd_
Koreans,/m/01xhh5
Tunxis,/m/03cwrj2
Karuk,/m/071309
Nlaka'pamux,/m/0710zd
Qadhadhfa,/m/0gg7nhm
Javanese Surinamese,/m/0g9y4rh
ethnic groups in Europe,/m/011q7hqk
Latino,/m/04pnf
Ulch people,/m/031c6d
Hausa-Fulani,/m/02g8gk
Holikachuk people,/m/08cf6q
Muromians,/m/04pvls
Tlaxcaltec,/m/07wr43
Curonian Kings,/m/026djq6
Shapsugs,/m/0ggm0y
Sukuma people,/m/057n10
Soninke Wangara,/m/09fyp8
Nambikwara people,/m/08w_sz
Gonja people,/m/08qwd8
Ogoni people,/m/06hywx
Tabwa people,/m/0gd09q
Susu people,/m/026d5cq
Kunta,/m/02vv3rp
Tongva people,/m/026bv71
Indigenous peoples of South America,/m/0118nxb_
Kist,/m/0fd014
Mambwe people,/m/0gd079
Nağaybäk,/m/07__dz
Nupe people,/m/07g8q0
Volga Tatars,/m/09lmt0
Gabra people,/m/09k5hr7
Wurundjeri,/m/024539
Tonkawa,/m/05xxs9
Ngangela people,/m/0gfdslj
indigenous peoples of Australia,/m/0117tn53
Mopan people,/m/047s5ns
Gbaya people,/m/02pm21l
Harii,/m/050_tv
Croats in the Czech Republic,/m/0hr9j6w
Okanagan people,/m/027qp7n
Sanhaja,/m/06pr8x
Nooksack people,/m/01ty4h
Gershonite,/m/056qg2
Shabak people,/m/025_ntj
Modoc people,/m/023cs3
Iowa people,/m/01snnd
Tunjur people,/m/09_g13
Armenians in Sweden,/m/0118h_dy
Hunkpapa,/m/084y18
Blood,/m/02jfqk
Tajiks of Xinjiang,/m/026b7rb
Vyatichi,/m/05505h
Plains Apache,/m/05ss3p
Kyode people,/m/07k7bnf
Macedonians in Germany,/m/0119v44x
Pahari people,/m/0gmgjh6
Russians in Austria,/m/0119_hpf
Gnawa,/m/02_p49
Goan Catholics,/m/04jpmrt
Q'eqchi' people,/m/047r776
Gola people,/m/083_mj
Pamlico,/m/07gzr1
Otavalo people,/m/0jztqbc
Kru people,/m/0399f2
Ho-Chunk,/m/033fjj
Gorowa people,/m/0gf1x1
Solanki,/m/08rc0g
Rashaida people,/m/05y92q
Yakama,/m/01sn6m
Montaukett,/m/0cbp1r
Riffian people,/m/02vykm5
Toba people,/m/07h9vh
Westo,/m/0g6kxq
Koori,/m/02jkm9
Hitchiti,/m/0b67m2
Illinois Confederation,/m/01p7tt
Sinixt people,/m/0chkz0
Griqua people,/m/02gpj6
Great Andamanese people,/m/07xl4l
Lhotshampa,/m/0950z
Kutenai people,/m/03lngp
Moken people,/m/05j0qm
Opata people,/m/05myxj
Chanés,/m/059_tpg
Kuria people,/m/0gdrg9
Guaicurú,/m/07y402
Iraqw people,/m/0gd_6h
Guji Oromo people,/m/026hqxq
Sri Lankans in Switzerland,/m/0gffcmf
Gunditjmara people,/m/025ztvv
Cherkess,/m/0_x6ddr
Gurindji people,/m/0fdb0g
Kadaru people,/m/0crnhy
Adyghe people,/m/011bc86f
Kumandins,/m/06dcc6
Waimiri-Atroari,/m/0dr_4qm
Sasak people,/m/03t9jj
Akokisa,/m/02wv924
Alaguilac people,/m/07h9dy
Amikwa people,/m/0ll1t96
Minaro,/m/0gjn4z
Tlapanec people,/m/027wjcy
Wari’ people,/m/032465
Patayan,/m/08rw5l
Caudini,/m/0ghdk7
Pashtuns,/m/09743
Mam people,/m/0ct9qx
Western Shoshone,/m/06hzrj
Achuar people,/m/02wv8vv
Meratus Dayak,/m/03d6sgm
Ma'anyan people,/m/09ggntz
Gbagyi people,/m/0d5gdp
Giáy people,/m/03cfl8w
Pokot people,/m/05dbg3
Gogo people,/m/09xwpk
Punu people,/m/04mkzn
Xindonga,/m/0gffwsn
Taranchi,/m/0d0v0f
Antaisaka people,/m/0bbwssy
Lusones,/m/092rc_
Yokuts people,/m/07sm13
Pardo Brazilians,/m/029pxn
Chinese Cambodian,/m/06qfv2
Dutch Canadians,/m/067lv3
Guajajara,/m/03d964q
Mising people,/m/0bhxnw
Armenians in Russia,/m/0c_lbq
Yibir,/m/0d8gxp
Yuin people,/m/0d9cfw
Ogaden,/m/0cpxh4
Chinese New Zealander,/m/0d8zj7
Wakhi people,/m/03k975
Dukha,/m/0c9s43
Italian Jews,/m/08h62g
Magars,/m/03gvyy
Tornedalians,/m/034d9l
Bantenese people,/m/03c921s
Indian Indonesians,/m/09zt_n
Cirebonese,/m/068v57
Mardijker people,/m/09wq_z
Portuguese Brazilians,/m/09tjx0
